Label Value,Code,Description
Abkhazian,abk,
Achinese,ace,
Acoli,ach,
Adangme,ada,
Adyghe; Adygei,ady,
Afar,aar,
Afrihili,afh,
Afrikaans,afr,
Afro-Asiatic languages,afa,
Ainu,ain,
Akan,aka,
Akkadian,akk,
Albanian,alb,
Aleut,ale,
Algonquian languages,alg,
Altaic languages,tut,
Amharic,amh,
Angika,anp,
Apache languages,apa,
Arabic,ara,
Aragonese,arg,
Arapaho,arp,
Arawak,arw,
Armenian,arm,
Aromanian; Arumanian; Macedo-Romanian,rup,
Artificial languages,art,
Assamese,asm,
Asturian; Bable; Leonese; Asturleonese,ast,
Athapascan languages,ath,
Australian languages,aus,
Austronesian languages,map,
Avaric,ava,
Avestan,ave,
Awadhi,awa,
Aymara,aym,
Azerbaijani,aze,
Balinese,ban,
Baltic languages,bat,
Baluchi,bal,
Bambara,bam,
Bamileke languages,bai,
Banda languages,bad,
Bantu (Other),bnt,
Basa,bas,
Bashkir,bak,
Basque,baq,
Batak languages,btk,
Beja; Bedawiyet,bej,
Belarusian,bel,
Bemba,bem,
Bengali,ben,
Berber languages,ber,
Bhojpuri,bho,
Bihari languages,bih,
Bikol,bik,
Bini; Edo,bin,
Bislama,bis,
Blin; Bilin,byn,
Blissymbols; Blissymbolics; Bliss,zbl,
"Bokm̴l, Norwegian; Norwegian Bokm̴l",nob,
Bosnian,bos,
Braj,bra,
Breton,bre,
Buginese,bug,
Bulgarian,bul,
Buriat,bua,
Burmese,bur,
Caddo,cad,
Catalan; Valencian,cat,
Caucasian languages,cau,
Cebuano,ceb,
Celtic languages,cel,
Central American Indian languages,cai,
Central Khmer,khm,
Chagatai,chg,
Chamic languages,cmc,
Chamorro,cha,
Chechen,che,
Cherokee,chr,
Cheyenne,chy,
Chibcha,chb,
Chichewa; Chewa; Nyanja,nya,
Chinese,chi,
Chinook jargon,chn,
Chipewyan; Dene Suline,chp,
Choctaw,cho,
Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,chu,
Chuukese,chk,
Chuvash,chv,
Classical Newari; Old Newari; Classical Nepal Bhasa,nwc,
Classical Syriac,syc,
Coptic,cop,
Cornish,cor,
Corsican,cos,
Cree,cre,
Creek,mus,
Creoles and pidgins,crp,
"Creoles and pidgins, English based",cpe,
"Creoles and pidgins, French-based",cpf,
"Creoles and pidgins, Portuguese-based",cpp,
Crimean Tatar; Crimean Turkish,crh,
Croatian,hrv,
Cushitic languages,cus,
Czech,cze,
Dakota,dak,
Danish,dan,
Dargwa,dar,
Delaware,del,
Dinka,din,
Divehi; Dhivehi; Maldivian,div,
Dogri,doi,
Dogrib,dgr,
Dravidian languages,dra,
Duala,dua,
"Dutch, Middle (ca.1050-1350)",dum,
Dutch; Flemish,dut,
Dyula,dyu,
Dzongkha,dzo,
Eastern Frisian,frs,
Efik,efi,
Egyptian (Ancient),egy,
Ekajuk,eka,
Elamite,elx,
English,eng,
"English, Middle (1100-1500)",enm,
"English, Old (ca.450-1100)",ang,
Erzya,myv,
Esperanto,epo,
Estonian,est,
Ewe,ewe,
Ewondo,ewo,
Fang,fan,
Fanti,fat,
Faroese,fao,
Fijian,fij,
Filipino; Pilipino,fil,
Finnish,fin,
Finno-Ugrian languages,fiu,
Fon,fon,
French,fre,
"French, Middle (ca.1400-1600)",frm,
"French, Old (842-ca.1400)",fro,
Friulian,fur,
Fulah,ful,
Ga,gaa,
Gaelic; Scottish Gaelic,gla,
Galibi Carib,car,
Galician,glg,
Ganda,lug,
Gayo,gay,
Gbaya,gba,
Geez,gez,
Georgian,geo,
German,ger,
"German, Middle High (ca.1050-1500)",gmh,
