Label Value,Code,Description
810101 Air Force,810101,
810102 Army,810102,
"810103 Command, Control and Communications",810103,
810104 Emerging Defence Technologies,810104,
810105 Intelligence,810105,
810106 Logistics,810106,
810107 National Security,810107,
810108 Navy,810108,
810109 Personnel,810109,
810199 Defence not elsewhere classified,810199,
820101 Hardwood Plantations,820101,
820102 Harvesting and Transport of Forest Products,820102,
820103 Integration of Farm and Forestry,820103,
820104 Native Forests,820104,
820105 Softwood Plantations,820105,
820199 Forestry not elsewhere classified,820199,
820201 Almonds,820201,
820202 Berry Fruit (excl. Kiwifruit),820202,
820203 Citrus Fruit,820203,
820204 Hops,820204,
820205 Kiwifruit,820205,
820206 Macadamias,820206,
820207 Mushrooms and Truffles,820207,
820208 Olives,820208,
"820209 Ornamentals, Natives, Flowers and Nursery Plants",820209,
"820210 Pome Fruit, Pip Fruit",820210,
820211 Stone Fruit,820211,
820212 Table Grapes,820212,
820213 Tree Nuts (excl. Almonds and Macadamias),820213,
820214 Tropical Fruit,820214,
820215 Vegetables,820215,
820299 Horticultural Crops not elsewhere classified,820299,
820301 Cotton,820301,
"820302 Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)",820302,
"820303 Plant Extract Crops (e.g. Pyrethrum, Jojoba)",820303,
820304 Sugar,820304,
820305 Tobacco,820305,
820306 Wine Grapes,820306,
820399 Industrial Crops not elsewhere classified,820399,
820401 Maize,820401,
820402 Rice,820402,
820403 Safflower Seed,820403,
820404 Sorghum,820404,
820405 Soybeans,820405,
820499 Summer Grains and Oilseeds not elsewhere classified,820499,
820501 Barley,820501,
820502 Canola,820502,
820503 Grain Legumes,820503,
820504 Linseed,820504,
820505 Lupins,820505,
820506 Oats,820506,
820507 Wheat,820507,
820599 Winter Grains and Oilseeds not elsewhere classified,820599,
820601 Cotton Lint and Cotton Seed,820601,
820602 Fresh Fruits and Vegetables (Post Harvest),820602,
820603 Sugar Cane (Cut for Crushing),820603,
820604 Tobacco Leaf,820604,
820605 Unprocessed Grains,820605,
"820606 Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)",820606,
820607 Unprocessed Oilseeds,820607,
820699 Harvesting and Packing of Plant Products not elsewhere classified,820699,
829801 Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases),829801,
829802 Management of Greenhouse Gas Emissions from Plant Production,829802,
829803 Management of Liquid Waste from Plant Production (excl. Water),829803,
829804 Management of Solid Waste from Plant Production,829804,
829805 Management of Water Consumption by Plant Production,829805,
829899 Environmentally Sustainable Plant Production not elsewhere classified,829899,
829901 Forest Product Traceability and Quality Assurance,829901,
829902 Plant Product Traceability and Quality Assurance (excl. Forest Products),829902,
829999 Plant Production and Plant Primary Products not elsewhere classified,829999,
830101 Aquaculture Crustaceans (excl. Rock Lobster and Prawns),830101,
830102 Aquaculture Fin Fish (excl. Tuna),830102,
830103 Aquaculture Molluscs (excl. Oysters),830103,
830104 Aquaculture Oysters,830104,
830105 Aquaculture Prawns,830105,
830106 Aquaculture Rock Lobster,830106,
830107 Aquaculture Tuna,830107,
830199 Fisheries - Aquaculture not elsewhere classified,830199,
830201 Fisheries - Recreational,830201,
830202 Wild Caught Crustaceans (excl. Rock Lobster and Prawns),830202,
830203 Wild Caught Edible Molluscs,830203,
830204 Wild Caught Fin Fish (excl. Tuna),830204,
830205 Wild Caught Prawns,830205,
830206 Wild Caught Rock Lobster,830206,
830207 Wild Caught Tuna,830207,
830299 Fisheries - Wild Caught not elsewhere classified,830299,
830301 Beef Cattle,830301,
830302 Dairy Cattle,830302,
830303 Deer,830303,
830304 Goats,830304,
"830305 Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)",830305,
830306 Horses,830306,
"830307 Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)",830307,
830308 Pigs,830308,
830309 Poultry,830309,
830310 Sheep - Meat,830310,
830311 Sheep - Wool,830311,
830399 Livestock Raising not elsewhere classified,830399,
830401 Browse Crops,830401,
830402 Lucerne,830402,
830403 Native and Residual Pastures,830403,
830404 Non-Cereal Crops for Hay,830404,
830405 Non-Cereal Crops for Silage/Green Feed,830405,
830406 Sown Pastures (excl. Lucerne),830406,
"830499 Pasture, Browse and Fodder Crops not elsewhere classified",830499,
830501 Eggs,830501,
830502 Honey,830502,
830503 Live Animals,830503,
830504 Pearls,830504,
830505 Raw Wool,830505,
830506 Unprocessed or Minimally Processed Fish,830506,
830507 Unprocessed or Minimally Processed Milk,830507,
830599 Primary Animal Products not elsewhere classified,830599,
839801 Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases),839801,
839802 Management of Greenhouse Gas Emissions from Animal Production,839802,
839803 Management of Liquid Waste from Animal Production (excl. Water),839803,
839804 Management of Solid Waste from Animal Production,839804,
839805 Management of Water Consumption by Animal Production,839805,
839899 Environmentally Sustainable Animal Production not elsewhere classified,839899,
839901 Animal Welfare,839901,
839902 Fish Product Traceability and Quality Assurance,839902,
