Label Value,Code,Description
CoRE Bio Protection Research Centre,CoRE101,CoRE: Bio Protection Research Centre
CoRE Brain Research New Zealand,CoRE201,CoRE: Brain Research New Zealand
CoRE Maurice Wilkins Centre for Molecular Biodiscovery,CoRE501,CoRE: Maurice Wilkins Centre for Molecular Biodiscovery
CoRE Medical Technologies Centre of Research Excellence,CoRE601,CoRE: Medical Technologies Centre of Research Excellence
CoRE Ngā Pae o te Māramatanga,CoRE701,CoRE: Ngā Pae o te Māramatanga
CoRE QuakeCoRE,CoRE801,CoRE: QuakeCoRE
CoRE Riddet Institute,CoRE901,CoRE: Riddet Institute
CoRE Te Pūnaha Matatini,CoRE1001,CoRE: Te Pūnaha Matatini - Complex Changes
CoRE The Dodd Walls Centre for Photonic and Quantum Technologies,CoRE301,CoRE: The Dodd Walls Centre for Photonic and Quantum Technologies
CoRE The MacDiarmid Institute for Advanced Materials and Nanotechnology,CoRE401,CoRE: The MacDiarmid Institute for Advanced Materials and Nanotechnology
NSC A Better Start,NSC101,NSC: A Better Start
NSC Ageing Well,NSC201,NSC: Ageing Well
"NSC Building Better Homes, Towns and Cities",NSC301,"NSC: Building Better Homes, Towns and Cities"
NSC Healthier Lives,NSC401,NSC: Healthier Lives
NSC High Value Nutrition,NSC501,NSC: High Value Nutrition
NSC New Zealand’s Biological Heritage,NSC601,NSC: New Zealand’s Biological Heritage
NSC Our Land and Water,NSC701,NSC: Our Land and Water
NSC Resilience to Nature’s Challenges,NSC801,NSC: Resilience to Nature’s Challenges
