Label Value,Code,Description
"30 Agricultural, veterinary and food sciences",30,"This division covers the sciences and technologies supporting agriculture.
It includes:
• crop and pasture production;
• agronomy;
• horticultural production;
• animal production;
• forestry sciences;
• fisheries sciences; 
• food sciences; and,
• veterinary sciences."
3001 Agricultural biotechnology,3001,This group covers agricultural biotechnology.
300101 Agricultural biotechnology diagnostics (incl. biosensors),300101,
300102 Agricultural marine biotechnology,300102,
300103 Agricultural molecular engineering of nucleic acids and proteins,300103,
300104 Genetically modified animals,300104,
300105 Genetically modified field crops and pasture,300105,
300106 Genetically modified horticulture plants,300106,
300107 Genetically modified trees,300107,
300108 Livestock cloning,300108,
300109 Non-genetically modified uses of biotechnology,300109,
300110 Transgenesis,300110,
300199 Agricultural biotechnology not elsewhere classified,300199,
"3002 Agriculture, land and farm management",3002,"This group covers the management of agriculture, land, farms and rural businesses."
300201 Agricultural hydrology,300201,
300202 Agricultural land management,300202,
300203 Agricultural land planning,300203,
300204 Agricultural management of nutrients,300204,
300205 Agricultural production systems simulation,300205,
300206 Agricultural spatial analysis and modelling,300206,
300207 Agricultural systems analysis and modelling,300207,
"300208 Farm management, rural management and agribusiness",300208,
300209 Germplasm management,300209,
300210 Sustainable agricultural development,300210,
"300299 Agriculture, land and farm management not elsewhere classified",300299,
3003 Animal production,3003,"This group covers the sciences and technologies supporting the primary production of livestock, including birds and poultry.
It includes:
• bees and apiary culture;
• egg production; and
• animal production for domestic or sporting uses."
300301 Animal growth and development,300301,
300302 Animal management,300302,
300303 Animal nutrition,300303,
300304 Animal protection (incl. pests and pathogens),300304,
300305 Animal reproduction and breeding,300305,
300306 Animal welfare,300306,
300307 Environmental studies in animal production,300307,
300399 Animal production not elsewhere classified,300399,
3004 Crop and pasture production,3004,"This group covers the sciences and technologies supporting the production of crops, pastures and grains.
It includes:
• agronomy;
• genetics and field protection procedures for crop and pasture production;
• post harvest treatment transportation of crops and grains; and
• weed science"
300401 Agrochemicals and biocides (incl. application),300401,
300402 Agro-ecosystem function and prediction,300402,
300403 Agronomy,300403,
300404 Crop and pasture biochemistry and physiology,300404,
300405 Crop and pasture biomass and bioproducts,300405,
