Label Value,Code,Description
01 Mathematical Sciences,01,
0101 Pure Mathematics,0101,
010101 Algebra and Number Theory,010101,
010102 Algebraic and Differential Geometry,010102,
"010103 Category Theory, K Theory, Homological Algebra",010103,
010104 Combinatorics and Discrete Mathematics (excl. Physical Combinatorics),010104,
010105 Group Theory and Generalisations,010105,
"010106 Lie Groups, Harmonic and Fourier Analysis",010106,
"010107 Mathematical Logic, Set Theory, Lattices and Universal Algebra",010107,
010108 Operator Algebras and Functional Analysis,010108,
"010109 Ordinary Differential Equations, Difference Equations and Dynamical Systems",010109,
010110 Partial Differential Equations,010110,
010111 Real and Complex Functions (incl. Several Variables),010111,
010112 Topology,010112,
010199 Pure Mathematics not elsewhere classified,010199,
0102 Applied Mathematics,0102,
010201 Approximation Theory and Asymptotic Methods,010201,
010202 Biological Mathematics,010202,
"010203 Calculus of Variations, Systems Theory and Control Theory",010203,
010204 Dynamical Systems in Applications,010204,
010205 Financial Mathematics,010205,
010206 Operations Research,010206,
010207 Theoretical and Applied Mechanics,010207,
010299 Applied Mathematics not elsewhere classified,010299,
0103 Numerical and Computational Mathematics,0103,
010301 Numerical Analysis,010301,
010302 Numerical Solution of Differential and Integral Equations,010302,
010303 Optimisation,010303,
010399 Numerical and Computational Mathematics not elsewhere classified,010399,
0104 Statistics,0104,
010401 Applied Statistics,010401,
010402 Biostatistics,010402,
010403 Forensic Statistics,010403,
010404 Probability Theory,010404,
010405 Statistical Theory,010405,
010406 Stochastic Analysis and Modelling,010406,
010499 Statistics not elsewhere classified,010499,
0105 Mathematical Physics,0105,
010501 Algebraic Structures in Mathematical Physics,010501,
010502 Integrable Systems (Classical and Quantum),010502,
"010503 Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory",010503,
010504 Mathematical Aspects of General Relativity,010504,
"010505 Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory",010505,
"010506 Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter",010506,
010599 Mathematical Physics not elsewhere classified,010599,
0199 Other Mathematical Sciences,0199,
019999 Mathematical Sciences not elsewhere classified,019999,
02 Physical Sciences,02,
0201 Astronomical and Space Sciences,0201,
020101 Astrobiology,020101,
020102 Astronomical and Space Instrumentation,020102,
020103 Cosmology and Extragalactic Astronomy,020103,
020104 Galactic Astronomy,020104,
020105 General Relativity and Gravitational Waves,020105,
020106 High Energy Astrophysics; Cosmic Rays,020106,
"020107 Mesospheric, Ionospheric and Magnetospheric Physics",020107,
020108 Planetary Science (excl. Extraterrestrial Geology),020108,
020109 Space and Solar Physics,020109,
020110 Stellar Astronomy and Planetary Systems,020110,
020199 Astronomical and Space Sciences not elsewhere classified,020199,
"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",0202,
020201 Atomic and Molecular Physics,020201,
020202 Nuclear Physics,020202,
020203 Particle Physics,020203,
020204 Plasma Physics; Fusion Plasmas; Electrical Discharges,020204,
"020299 Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified",020299,
0203 Classical Physics,0203,
020301 Acoustics and Acoustical Devices; Waves,020301,
020302 Electrostatics and Electrodynamics,020302,
020303 Fluid Physics,020303,
020304 Thermodynamics and Statistical Physics,020304,
020399 Classical Physics not elsewhere classified,020399,
0204 Condensed Matter Physics,0204,
020401 Condensed Matter Characterisation Technique Development,020401,
020402 Condensed Matter Imaging,020402,
020403 Condensed Matter Modelling and Density Functional Theory,020403,
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity,020404,
020405 Soft Condensed Matter,020405,
020406 Surfaces and Structural Properties of Condensed Matter,020406,
020499 Condensed Matter Physics not elsewhere classified,020499,
0205 Optical Physics,0205,
020501 Classical and Physical Optics,020501,
020502 Lasers and Quantum Electronics,020502,
020503 Nonlinear Optics and Spectroscopy,020503,
"020504 Photonics, Optoelectronics and Optical Communications",020504,
020599 Optical Physics not elsewhere classified,020599,
0206 Quantum Physics,0206,
020601 Degenerate Quantum Gases and Atom Optics,020601,
020602 Field Theory and String Theory,020602,
"020603 Quantum Information, Computation and Communication",020603,
020604 Quantum Optics,020604,
020699 Quantum Physics not elsewhere classified,020699,
0299 Other Physical Sciences,0299,
029901 Biological Physics,029901,
029902 Complex Physical Systems,029902,
029903 Medical Physics,029903,
029904 Synchrotrons; Accelerators; Instruments and Techniques,029904,
029999 Physical Sciences not elsewhere classified,029999,
03 Chemical Sciences,03,
0301 Analytical Chemistry,0301,
030101 Analytical Spectrometry,030101,
030102 Electroanalytical Chemistry,030102,
030103 Flow Analysis,030103,
030104 Immunological and Bioassay Methods,030104,
030105 Instrumental Methods (excl. Immunological and Bioassay Methods),030105,
"030106 Quality Assurance, Chemometrics, Traceability and Metrological Chemistry",030106,
030107 Sensor Technology (Chemical aspects),030107,
030108 Separation Science,030108,
030199 Analytical Chemistry not elsewhere classified,030199,
0302 Inorganic Chemistry,0302,
