Label Value,Code,Description
1 No Poverty,1,SDG 1 - No Poverty
10 Reduced Inequalities,10,SDG 10 - Reduced Inequalities
11 Sustainable Cities and Communities,11,SDG 11 - Sustainable Cities and Communities
12 Responsible Consumption and Production,12,SDG 12 - Responsible Consumption and Production
13 Climate Action,13,SDG 13 - Climate Action
14 Life Below Water,14,SDG 14 - Life Below Water
15 Life on Land,15,SDG 15 - Life on Land
"16 Peace, Justice and Strong Institutions",16,"SDG 16 - Peace, Justice and Strong Institutions"
17 Partnerships for the Goals,17,SDG 17 - Partnerships for the Goals
2 Zero Hunger,2,SDG 2 - Zero Hunger
3 Good Health and Well Being,3,SDG 3 - Good Health and Well Being
4 Quality Education,4,SDG 4 - Quality Education
5 Gender Equality,5,SDG 5 - Gender Equality
6 Clean Water and Sanitation,6,SDG 6 - Clean Water and Sanitation
7 Affordable and Clean Energy,7,SDG 7 - Affordable and Clean Energy
8 Decent Work and Economic Growth,8,SDG 8 - Decent Work and Economic Growth
"9 Industry, Innovation and Infrastructure",9,"SDG 9 - Industry, Innovation and Infrastructure"
