Label Value,Code,Description
10 Animal production and animal primary products,10,"This division covers R&D directed towards breeding and farming livestock, and the production of associated primary livestock products."
1001 Environmentally sustainable animal production,1001,"This group covers R&D directed towards environmentally sustainable production of animals and animal primary products by minimising the generation of emissions and waste, and by reducing or optimising the consumption of water and other natural resources."
100101 Management of gaseous waste from animal production (excl. greenhouse gases),100101,
100102 Management of liquid waste from animal production (excl. water),100102,
100103 Management of solid waste from animal production,100103,
100104 Management of water consumption by animal production,100104,
100199 Environmentally sustainable animal production not elsewhere classified,100199,
1002 Fisheries - aquaculture,1002,This group covers R&D directed towards improving the characteristics and harvesting of fisheries grown or farmed in aquaculture either for commercial or other reasons.
100201 Aquaculture crustaceans (excl. rock lobster and prawns),100201,
100202 Aquaculture fin fish (excl. tuna),100202,
100203 Aquaculture molluscs (excl. oysters),100203,
100204 Aquaculture oysters,100204,
100205 Aquaculture prawns,100205,
100206 Aquaculture rock lobster,100206,
100207 Aquaculture tuna,100207,
100299 Fisheries - aquaculture not elsewhere classified,100299,
1003 Fisheries - wild caught,1003,This group covers R&D directed towards improving the characteristics and harvesting of fisheries caught in the wild for commercial or recreational reasons.
100301 Fisheries - recreational freshwater,100301,
100302 Fisheries - recreational marine,100302,
100303 Wild caught crustaceans (excl. rock lobster and prawns),100303,
100304 Wild caught edible molluscs,100304,
100305 Wild caught fin fish (excl. tuna),100305,
100306 Wild caught prawns,100306,
100307 Wild caught rock lobster,100307,
100308 Wild caught tuna,100308,
100399 Fisheries - wild caught not elsewhere classified,100399,
1004 Livestock raising,1004,This group covers R&D directed towards farming or breeding livestock. It includes beekeeping and pet breeding.
100401 Beef cattle,100401,
100402 Dairy cattle,100402,
100403 Deer,100403,
"100404 Game livestock (e.g. kangaroos, wallabies, camels, buffaloes)",100404,
100405 Goats,100405,
100406 Horses,100406,
100407 Insects,100407,
"100408 Minor livestock (e.g. alpacas, ostriches, crocodiles, farmed rabbits)",100408,
100409 Non-cattle dairy,100409,
100410 Pigs,100410,
100411 Poultry,100411,
100412 Sheep for meat,100412,
100413 Sheep for wool,100413,
100499 Livestock raising not elsewhere classified,100499,
"1005 Pasture, browse and fodder crops",1005,"This group covers R&D directed towards growing sown legumes, sown grasses, browse and fodder crops, native vegetation and any other pasture crops. It includes R&D directed towards harvesting, preparation and storage of pasture, browse and fodder crops."
100501 Browse crops,100501,
100502 Lucerne,100502,
100503 Native and residual pastures,100503,
100504 Non-cereal crops (non-cereal crops for hay/silage/green feed),100504,
100505 Sown pastures (excl. lucerne),100505,
"100599 Pasture, browse and fodder crops not elsewhere classified",100599,
1006 Primary products from animals,1006,"This group covers R&D directed towards improving the preparation, handling or storage of primary animal products such as eggs, honey, raw wool, unprocessed or minimally processed fish or milk, and other animal fibres, hides and skins."
100601 Eggs,100601,
100602 Honey,100602,
100603 Pearls,100603,
100604 Raw wool,100604,
100605 Unprocessed or minimally processed fish,100605,
100606 Unprocessed or minimally processed milk,100606,
100699 Primary products from animals not elsewhere classified,100699,
1099 Other animal production and animal primary products,1099,This group covers R&D directed towards animal production not elsewhere classified.
109901 Animal adaptation to climate change,109901,
109902 Animal welfare,109902,
109903 Fish product traceability and quality assurance,109903,
109904 Livestock product traceability and quality assurance,109904,
109999 Other animal production and animal primary products not elsewhere classified,109999,
11 Commercial services and tourism,11,This division covers R&D directed towards the provision of commercial services to the economic and social development sectors.
1101 Environmentally sustainable commercial services and tourism,1101,This group covers R&D directed towards environmentally sustainable ways of managing commercial and tourism service activities by minimising the generation of emissions and wastes and by reducing or optimising the consumption of resources such as water.
110101 Management of gaseous waste from commercial services and tourism (excl. greenhouse gases),110101,
110102 Management of liquid waste from commercial services and tourism (excl. water),110102,
110103 Management of solid waste from commercial services and tourism,110103,
110104 Management of water consumption by commercial services and tourism,110104,
110199 Environmentally sustainable commercial services and tourism not elsewhere classified,110199,
1102 Financial services,1102,This group covers R&D directed towards the development and provision of finance and investment services.
110201 Finance services,110201,
110202 Investment services (excl. superannuation),110202,
110203 Superannuation and insurance services,110203,
110299 Financial services not elsewhere classified,110299,
"1103 Property, business support services and trade",1103,"This group covers R&D directed towards the development and provision of property, business support services and trade."
110301 Administration and business support services,110301,
"110302 Professional, scientific and technical services",110302,
110303 Property services (incl. security),110303,
110304 Wholesale and retail trade,110304,
"110399 Property, business support services and trade not elsewhere classified",110399,
1104 Tourism services,1104,This group covers R&D directed towards the development and provision of tourism services.
110401 Economic issues in tourism,110401,
110402 Socio-cultural issues in tourism,110402,
110403 Tourism infrastructure development,110403,
110499 Tourism services not elsewhere classified,110499,
1105 Water and waste services,1105,This group covers R&D directed towards the development and provision of water and waste services and utilities to households and industrial and commercial premises.
110501 Waste management services,110501,
110502 Waste recycling services,110502,
110503 Water recycling services (incl. sewage and greywater),110503,
110504 Water services and utilities,110504,
110599 Water and waste services not elsewhere classified,110599,
1199 Other commercial services and tourism,1199,"This group covers R&D directed towards the development and provision of commercial services not elsewhere classified. It includes recreational services of a commercial nature (e.g. casinos) and hospitality services (e.g. motels, taverns and restaurants)."
119901 Hospitality services,119901,
119902 Recreational services,119902,
119999 Other commercial services and tourism not elsewhere classified,119999,
12 Construction,12,This division covers R&D directed towards construction activities.
1201 Building management and services,1201,"This group covers R&D directed towards the design, installation and maintenance of building services, as well as demolition and refurbishment."
120101 Civil building management and services,120101,
120102 Commercial building management and services,120102,
120103 Industrial building management and services,120103,
120104 Institutional building management and services,120104,
120105 Residential building management and services,120105,
120199 Building management and services not elsewhere classified,120199,
1202 Construction design,1202,This group covers R&D directed towards improving the activities associated with turning a project sketch plan into detailed architectural and engineering designs and specifications.
120201 Civil construction design,120201,
120202 Commercial construction design,120202,
120203 Industrial construction design,120203,
120204 Institutional construction design,120204,
120205 Residential construction design,120205,
120299 Construction design not elsewhere classified,120299,
1203 Construction materials performance and processes,1203,"This group covers R&D directed towards testing the performance, durability and life cycle of construction components and materials which are delivered to or assembled on construction sites."
120301 Cement and concrete materials,120301,
120302 Glass materials,120302,
120303 Metals,120303,
120304 Polymeric materials and paints,120304,
"120305 Stone, ceramics and clay materials",120305,
120306 Timber materials,120306,
120399 Construction materials performance and processes not elsewhere classified,120399,
1204 Construction planning,1204,This group covers R&D directed towards improving the activities associated with the development of construction projects to the sketch plan stage.
120401 Civil construction planning,120401,
120402 Commercial construction planning,120402,
120403 Industrial construction planning,120403,
120404 Regional planning,120404,
120405 Residential construction planning,120405,
120406 Urban planning,120406,
120499 Construction planning not elsewhere classified,120499,
1205 Construction processes,1205,This group covers R&D directed towards improving the processes and activities associated with translating plans and specifications into finished buildings and structures.
120501 Civil construction processes,120501,
120502 Commercial construction processes,120502,
120503 Industrial construction processes,120503,
120504 Institutional construction processes,120504,
120505 Residential construction processes,120505,
120599 Construction processes not elsewhere classified,120599,
1206 Environmentally sustainable construction activities,1206,This group covers R&D directed towards environmentally sustainable ways of managing construction and building activities by minimising the generation of emissions and wastes and by reducing or optimising the consumption of water and other natural resources.
120601 Management of gaseous waste from construction activities (excl. greenhouse gases),120601,
120602 Management of liquid waste from construction activities (excl. water),120602,
120603 Management of solid waste from construction activities,120603,
120604 Management of water consumption by construction activities,120604,
120699 Environmentally sustainable construction activities not elsewhere classified,120699,
1299 Other construction,1299,This group covers R&D directed towards construction activities not elsewhere classified.
129901 Adaptation to climate change in construction,129901,
129999 Other construction not elsewhere classified,129999,
13 Culture and society,13,This division includes R&D directed towards improved understanding of culture.
1301 Arts,1301,This group covers R&D directed towards the arts.
130101 Design,130101,
130102 Music,130102,
130103 The creative arts,130103,
130104 The performing arts,130104,
130199 Arts not elsewhere classified,130199,
1302 Communication,1302,This group covers R&D directed towards improving understanding of the social and cultural contexts of communication.
130201 Communication across languages and culture,130201,
130202 Languages and linguistics,130202,
130203 Literature,130203,
130204 The media,130204,
130205 Visual communication,130205,
130299 Communication not elsewhere classified,130299,
1303 Ethics,1303,This group covers R&D directed towards the understanding and analysis of ethics.
130301 Bioethics,130301,
130302 Business ethics,130302,
130303 Environmental ethics,130303,
130304 Social ethics,130304,
130305 Technological ethics,130305,
130306 Workplace and organisational ethics (excl. business ethics),130306,
130399 Ethics not elsewhere classified,130399,
1304 Heritage,1304,"This group covers R&D towards heritage issues, including the conservation of natural, social and cultural heritage, and heritage aspects of urban and regional planning."
130401 Assessment of heritage value,130401,
130402 Conserving collections and movable cultural heritage,130402,
130403 Conserving intangible cultural heritage,130403,
130404 Conserving natural heritage,130404,
130405 Conserving the historic environment,130405,
130499 Heritage not elsewhere classified,130499,
1305 Religion,1305,This group covers R&D directed towards the understanding of religion.
130501 Religion and society,130501,
130502 Religious philosophies and belief systems,130502,
130503 Religious rituals and traditions (excl. structures),130503,
130504 Religious structures,130504,
130599 Religion not elsewhere classified,130599,
"1306 Sport, exercise and recreation",1306,"This group covers R&D directed towards the provision and study of sport, exercise and recreation activities."
130601 Exercise,130601,
130602 Organised sports,130602,
130603 Recreation and leisure activities (excl. sport and exercise),130603,
"130699 Sport, exercise and recreation not elsewhere classified",130699,
1307 Understanding past societies,1307,This group covers R&D directed towards the understanding of past societies.
130701 Understanding Africa’s past,130701,
130702 Understanding Asia’s past,130702,
130703 Understanding Australia’s past,130703,
130704 Understanding Europe’s past,130704,
130705 Understanding New Zealand’s past,130705,
130706 Understanding the past of the Americas,130706,
130799 Understanding past societies not elsewhere classified,130799,
1399 Other culture and society,1399,This group covers R&D directed towards cultural understanding not elsewhere classified.
139999 Other culture and society not elsewhere classified,139999,
14 Defence,14,"This Division covers R&D directed towards the development of defence or national security, and the development and testing of military or defence related equipment and materials. It includes R&D undertaken for military reasons regardless of their content or whether they have secondary civil applications, and nuclear and space R&D undertaken for military purposes."
1401 Defence,1401,
140101 Air,140101,
"140102 Command, control and communications",140102,
140103 Cyber and electronic security and warfare,140103,
140104 Emerging defence technologies,140104,
"140105 Intelligence, surveillance and space",140105,
140106 Land,140106,
140107 Logistics,140107,
140108 Maritime,140108,
140109 National security,140109,
140110 Personnel,140110,
140199 Defence not elsewhere classified,140199,
15 Economic framework,15,This division covers R&D directed towards the understanding of the economic framework of development and the application of economic theory to assist development. It includes R&D directed towards developing measurement standards and calibrations services which make a contribution to the economic framework.
1501 International trade policy,1501,"This group covers R&D directed towards understanding issues relating to international trade, including trade policy, assistance and protection and international agreements on trade."
150101 International agreements on trade,150101,
150102 Trade assistance and protection,150102,
150103 Trade policy,150103,
150199 International trade policy not elsewhere classified,150199,
1502 Macroeconomics,1502,"This group covers R&D directed towards the understanding of economic issues at the macroeconomic level, including fiscal policy, monetary policy, exchange rates, balance of payments, income policy, taxation and other macroeconomic issues."
150201 Balance of payments,150201,
150202 Demography,150202,
150203 Economic growth,150203,
150204 Exchange rates,150204,
150205 Fiscal policy,150205,
150206 Income distribution,150206,
150207 Macro labour market issues,150207,
150208 Monetary policy,150208,
150209 Savings and investments,150209,
150210 Taxation,150210,
150299 Macroeconomics not elsewhere classified,150299,
1503 Management and productivity,1503,This group covers R&D directed towards management and productivity issues. It includes R&D directed towards marketing and industrial relations.
150301 Industrial relations,150301,
150302 Management,150302,
150303 Marketing,150303,
150304 Productivity (excl. public sector),150304,
150305 Public sector productivity,150305,
150306 Technological and organisational innovation,150306,
150399 Management and productivity not elsewhere classified,150399,
1504 Measurement standards and calibration services,1504,"This group covers R&D directed towards the development and provision of measurement standards and calibration services for defence, manufacturing and the service industries."
150401 Agricultural and environmental standards and calibrations,150401,
